Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_CP_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN]
3.0,1.947775284,1.975,2.304851477,8.552784006,0.36272369212648786,0.7813304630440001,0.04731033142916637,0.17555796978840785,9.732041592424666,0.4766928772329695,0.46042611299999997,29.196124777274,141.16579982068615,0.375538649,0.269644905
3.54953237,-0.95492474,2.184880357,3.362448632,13.06625759,0.3706687140257445,0.8569866781597641,0.049302498791186526,0.1915863168601431,9.099439256719801,0.7693287042064987,0.448625093,32.29875419057568,141.16579982068615,0.635644519,0.414029518
4.067900771,-0.95492474,2.503957017,4.41625434,17.16127832,0.39292851840967546,0.8569866770941509,0.0493024987821721,0.19158631689503564,9.099439252775174,1.158002681391424,0.448625093,37.01561595203179,141.16579982068615,1.014237244,0.54378813
4.553906848,-0.95492474,2.803113363,5.534541668,21.50687045,0.4068946312477377,0.8569866764656906,0.04930249877695017,0.1915863169280869,9.099439255755032,1.6246168056891082,0.44862509299999986,41.43799873974286,141.16579982068615,1.473497284,0.681486579
5.006427063,-0.95492474,3.081657809,6.689122709,25.99349759,0.4148876079784733,0.8569866771697338,0.049302498775549125,0.19158631689906616,9.099439254729017,2.158649808399494,0.4486250929999999,45.555678942999904,141.16579982068615,1.996315118,0.823653995
5.424415288,-0.95492474,3.338946423,7.852704204,30.51509991,0.4201043727825873,0.856986677020115,0.04930249878471377,0.1915863169100205,9.09943925608448,2.745726702059589,0.4486250929999999,49.35913741293199,141.16579982068615,2.571170922,0.966929666
5.806905228,-0.95492474,3.574384409,8.999178214,34.97022365,0.42351079000707004,0.856986677206142,0.049302498777470734,0.1915863168561097,9.099439253098653,3.3684703411258057,0.448625093,52.83958137068698,141.16579982068615,3.179901342,1.108098836
6.153012649,-0.95492474,3.787427488,10.1038989,39.26309667,0.42578597800769646,0.8569866771164238,0.049302498794859255,0.19158631686775066,9.099439253004617,4.00739301620451,0.448625093,55.98896482254452,141.16579982068615,3.803380108,1.244126779
6.461937428,-0.95492474,3.977583151,11.14394276,43.30463976,0.4273268040600058,0.85698667654075,0.049302498767280996,0.19158631683288974,9.099439253007985,4.641803572124515,0.4486250930000001,58.80000708282465,141.16579982068615,4.421435886,1.372190849
6.732965398,-0.95492474,4.1444118,12.09834991,47.01340413,0.42833801670671895,0.8569866768834908,0.0493024987654055,0.19158631683821373,9.099439254405825,5.250705507210479,0.448625093,61.26620964111734,141.16579982068615,5.013265683,1.489710186
6.965470002,-0.95492474,4.287527763,12.94834399,50.31642607,0.4290445336054693,0.8569866767240328,0.0493024987795811,0.19158631689310393,9.099439255165017,5.813662176369319,0.4486250929999999,63.38187116687315,141.16579982068615,5.55992078,1.594372792
7.158913742,-0.95492474,4.406600188,13.67752872,53.14999069,0.42955167073184053,0.8569866771100968,0.0493024987845847,0.19158631687336083,9.099439254742371,6.31160631743139,0.448625093,65.1421007252694,141.16579982068615,6.043266596,1.684159741
7.312849418,-0.95492474,4.501353806,14.27205917,55.46029752,0.42989482571203724,0.8569866769964206,0.04930249877035802,0.19158631685265706,9.099439254517295,6.72757279430851,0.448625093,66.54282905652315,141.16579982068615,6.446694086,1.757366259
7.426921164,-0.95492474,4.571569567,14.72078616,57.20402153,0.43012097931715537,0.8569866770564022,0.049302498781664005,0.19158631686754332,9.099439254231259,7.04733562801139,0.44862509300000003,67.58081797778252,141.16579982068615,6.756659289,1.81261951
7.500865272,-0.95492474,4.617085148,15.01537233,58.34876433,0.4302554204398903,0.8569866767384754,0.04930249876025673,0.1915863168637349,9.099439253708203,7.259932920620423,0.448625093,68.25366789281347,141.16579982068615,6.962663346,1.848892888
