BlSpn_[m],BlTwist_[deg],BlChord_[m]
0.0,38.96,9.42
20.0,12.62,10.62
40.0,3.66,7.04
60.0,-0.33,5.11
80.0,-2.54,3.98
100.0,-3.93,3.26
120.0,-4.89,2.75
140.0,-5.59,2.37
160.0,-6.12,2.0
180.0,-6.54,0.1
